user,total_volume,Percentage,Point
0x7259339b37d0ed085eaf0d4527bbde59ff97d48f,634583078.5,0.1888336923,1744823.317,
0xedcf812f75028659db335c7f1f9cb3ab1a16fc17,508140661.8,0.1512080619,1397162.492,
0x9024c3e74919e720d1250d485833dc73b381fe11,471855074.8,0.1404105137,1297393.146,
0x10890742a1a20a936132072c20ae77b081486190,255199635.5,0.07594007954,701686.335,
0xf7a819deba0d69c4f3567cb9fac04b05ec3a6516,227115762.3,0.06758312574,624468.0818,
0x623f32b87dbf8739282d9d3464b8c4e86a1626e4,101173956.2,0.0301064626,278183.7144,
0xa5611a7217274d02c193a953ff896ed6d4132f17,100828583.9,0.03000368972,277234.0931,
0x1f87ee1e1e73fcf1daede163b3f40eeed9db7ebe,79073975.86,0.02353014339,217418.5249,
0xdbf1d832d1e66ce1d8498d578364c0d7d0614c7b,76958704.11,0.02290069929,211602.4614,
0x905c1ca2ac32ee0799e4aa31927f1166a93f3b17,64615744.19,0.01922778904,177664.7707,
0x64b4edbdf5c2bb79db54ae952b28efb0544cc725,42510542.03,0.01264991596,116885.2235,
0xc1a2d8a1182bc200f3bf9529a89fe9249373d709,30277478.57,0.009009707739,83249.69951,
0xd59586b52f6f8c90c04c2b9718be7b2ac7d6cc61,30090843.22,0.008954170421,82736.53469,
0x94bb64f974b5cc1aeeafaf66ac43c6195d6e7bb2,26463951.51,0.00787491165,72764.18364,
0xe7a0bb30b3b4a9a1a9faea22b614e74a558d8726,25409560.67,0.007561155229,69865.07431,
0x0d7661a7b7a89b40b6db128900557e4f1d1b3789,22894533.34,0.006812755353,62949.85946,
0xcf0dcc80f6e15604e258138cca455a040ecb4605,17102667.7,0.005089262541,47024.78588,
0xd330a1b6713b9e4a2ddc1156b07245eb6694a4d5,14954166.96,0.004449930448,41117.35734,
0xf73bd5710d3e3d4e8db7ec6058f9fb77ff8414e9,13850319.31,0.004121457102,38082.26362,
0xea173fdc768c9a363753108660132bdc6353124e,13838134.94,0.004117831383,38048.76198,
0x0d2afd45c2dc4b435bdf1f1f206de15f4d606479,12422396.43,0.003696548277,34156.10608,
0x69258d1ed30a0e5971992921cb5787b9c7a2909d,11124608.19,0.003310363783,30587.76136,
0xc5716bbea3c822f3346de7185fe22b14fdc2670e,10057914.24,0.00299294631,27654.8239,
0x78728fa68e9f07704ddad785007fa021d7b140a0,9010548.175,0.00268128026,24775.02961,
0x8e64d123e73d9e0f10517c56c0a9bf2bab83040a,8813717.162,0.002622709006,24233.83121,
0x602cf79655a085e735327a8de9a44b36579bb081,8645520.446,0.002572658496,23771.3645,
0x0e545f33038c3457cc2efe1edcfdf8f76ab4af32,8430326.537,0.002508622971,23179.67625,
0x90f15e09b8fb5bc080b968170c638920db3a3446,8254026.988,0.00245616129,22694.93032,
0xb53ed4b7b068d41b590927650f4dfb2f797c3b22,7348155.061,0.002186599831,20204.18244,
0xd600ee8c118b0617cac8b0c297eaa54631857fb1,7216758.27,0.002147499921,19842.89927,
0x637b935cba030aeb876eae07aa7ff637166de4d6,7216142.794,0.002147316773,19841.20698,
